0.000000000000000000e+00,2.625000000000000000e+01,1.000000000000000000e+00,1.750000000000000000e+00
1.211003999342210591e-01,2.750000000000000000e+01,1.500000000000000000e+00,1.750000000000000000e+00
1.580719199264422059e-01,2.700000000000000000e+01,1.500000000000000000e+00,2.000000000000000000e+00
2.807740799034945667e-01,2.550000000000000000e+01,1.000000000000000000e+00,1.500000000000000000e+00
3.177974398713558912e-01,2.425000000000000000e+01,1.250000000000000000e+00,1.250000000000000000e+00
4.408639199682511389e-01,2.550000000000000000e+01,7.500000000000000000e-01,1.250000000000000000e+00
4.778627998894080520e-01,2.875000000000000000e+01,1.000000000000000000e+00,7.500000000000000000e-01
6.015880799386650324e-01,2.675000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00
6.385555198648944497e-01,2.600000000000000000e+01,1.000000000000000000e+00,1.500000000000000000e+00
7.609943998977541924e-01,3.050000000000000000e+01,1.000000000000000000e+00,1.250000000000000000e+00
4.174439987400546670e-02,2.875000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00
7.871495996369048953e-02,2.800000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00
2.001323999720625579e-01,2.875000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00
2.370885599520988762e-01,2.950000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00
3.607487999252043664e-01,2.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00
3.977404799661599100e-01,3.075000000000000000e+01,7.500000000000000000e-01,1.250000000000000000e+00
5.204740799381397665e-01,3.050000000000000000e+01,1.000000000000000000e+00,1.750000000000000000e+00
5.574650400085374713e-01,2.950000000000000000e+01,1.000000000000000000e+00,1.250000000000000000e+00
6.809047199785709381e-01,2.900000000000000000e+01,7.500000000000000000e-01,1.000000000000000000e+00
7.178906399058178067e-01,2.825000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00
