,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,2.312,0.008,2.297,2.325,0.0,0.0,1485.0,975.0,1.0
log_semiamp,6.763,0.195,6.405,7.123,0.006,0.004,1324.0,988.0,1.0
log_jitter,-3.07,4.907,-12.635,5.852,0.095,0.097,2629.0,1448.0,1.0
zero_point,-0.051,9.798,-18.36,17.306,0.195,0.219,2517.0,1459.0,1.0
period,10.09,0.077,9.941,10.23,0.002,0.001,1485.0,975.0,1.0
semiamp,881.328,164.612,584.943,1213.241,4.489,3.175,1324.0,988.0,1.0
ecc,0.205,0.135,0.0,0.438,0.004,0.003,933.0,698.0,1.0
plus,-1.046,1.44,-3.14,2.162,0.055,0.039,1113.0,1156.0,1.0
minus,-0.473,0.172,-0.79,-0.14,0.005,0.004,1409.0,888.0,1.0
phi,-1.519,1.441,-3.588,1.892,0.054,0.038,1026.0,1122.0,1.0
omega,-0.573,1.458,-2.673,2.75,0.056,0.039,1096.0,1060.0,1.0
tperi,-2.44,2.318,-5.88,2.974,0.087,0.062,1013.0,1117.0,1.0
